CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
20f3e0da0b3f   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-24   43.70%    33.52MiB / 7.764GiB   0.42%     1.99kB / 1.8kB    0B / 0B           8
bc22482e4701   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-28   22.18%    24.51MiB / 7.764GiB   0.31%     2.29kB / 1.8kB    0B / 0B           9
b4577586924d   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-26   21.22%    25.5MiB / 7.764GiB    0.32%     2.41kB / 1.8kB    0B / 0B           9
1aa24fbda040   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-25   13.64%    33.3MiB / 7.764GiB    0.42%     3.29kB / 1.8kB    0B / 0B           9
1f5c2be23310   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-43   20.11%    28.03MiB / 7.764GiB   0.35%     3.25kB / 1.8kB    0B / 0B           8
b55357cdc414   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-27   17.42%    25.82MiB / 7.764GiB   0.32%     3.29kB / 1.8kB    0B / 0B           9
09fa8c2a3b7e   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-29   19.92%    26.13MiB / 7.764GiB   0.33%     3.03kB / 1.8kB    0B / 0B           9
bd0689cb2f89   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-32   15.72%    24.51MiB / 7.764GiB   0.31%     3.21kB / 1.8kB    0B / 0B           8
c6c31602a63b   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-31   14.55%    32.46MiB / 7.764GiB   0.41%     3.42kB / 1.8kB    0B / 0B           8
63c328718579   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-33   15.81%    32.58MiB / 7.764GiB   0.41%     3.5kB / 1.8kB     0B / 0B           9
f6554dbf81fe   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-34   17.79%    28.09MiB / 7.764GiB   0.35%     3.2kB / 1.8kB     0B / 0B           8
5c3bfea7b59c   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-38   23.48%    26.38MiB / 7.764GiB   0.33%     3.03kB / 1.8kB    0B / 0B           9
6a12523f11ee   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-37   16.50%    24.26MiB / 7.764GiB   0.31%     3.12kB / 1.8kB    0B / 0B           9
8a467c2d6edf   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-36   18.19%    23.02MiB / 7.764GiB   0.29%     3.12kB / 1.8kB    0B / 0B           9
91f82f072752   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-35   13.34%    18.45MiB / 7.764GiB   0.23%     2.99kB / 1.8kB    0B / 0B           9
1dbc4d1dff0a   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-40   24.84%    30.78MiB / 7.764GiB   0.39%     3.12kB / 1.8kB    0B / 0B           9
ebbd3187b756   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-39   19.23%    23.26MiB / 7.764GiB   0.29%     2.83kB / 1.8kB    0B / 0B           9
f4d06f256545   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-41   30.63%    26.73MiB / 7.764GiB   0.34%     2.08kB / 1.8kB    0B / 0B           9
56f11d83cd3a   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-46   28.65%    26.1MiB / 7.764GiB    0.33%     4.33kB / 3.91kB   0B / 0B           10
6b9cbd4ed3b7   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-42   32.91%    27.81MiB / 7.764GiB   0.35%     4.04kB / 3.55kB   0B / 0B           10
2b9b0a136ea6   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-44   31.13%    33.33MiB / 7.764GiB   0.42%     5.74kB / 6.48kB   0B / 0B           8
aa2477d3d888   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-45   36.49%    27.57MiB / 7.764GiB   0.35%     6.02kB / 6.62kB   0B / 0B           9
d261eb014936   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-47   38.49%    27.64MiB / 7.764GiB   0.35%     6.11kB / 6.48kB   0B / 0B           9
af8c224ab9e3   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-48   31.93%    26.67MiB / 7.764GiB   0.34%     6.11kB / 6.68kB   0B / 0B           9
60f1498862e4   tg-dht-find-providers-cf2u827rirflktvahn30-cypress-provider-49   31.99%    27.61MiB / 7.764GiB   0.35%     5.89kB / 6.55kB   0B / 0B           9
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
