CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
6bc9f5ffc996   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-15   1.38%     33.92MiB / 9.717GiB   0.34%     3.78kB / 1.85kB   0B / 0B           9
6d05df503b6c   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-14   0.11%     32.99MiB / 9.717GiB   0.33%     3.33kB / 1.8kB    0B / 0B           10
1c93f23306f6   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-11   0.80%     33.12MiB / 9.717GiB   0.33%     4.74kB / 12.8kB   0B / 0B           10
65b0f0d7de5a   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-10   0.19%     32.51MiB / 9.717GiB   0.33%     4.79kB / 12.8kB   0B / 0B           9
1b50c717b4d4   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-9    11.75%    33.25MiB / 9.717GiB   0.33%     3.73kB / 1.8kB    0B / 0B           10
791bf325006d   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-8    0.86%     33.34MiB / 9.717GiB   0.34%     3.91kB / 1.85kB   0B / 0B           9
80808f69fd05   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-5    1.89%     33.21MiB / 9.717GiB   0.33%     4.38kB / 13kB     0B / 0B           9
82946713cd59   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-4    0.09%     34.48MiB / 9.717GiB   0.35%     5.31kB / 12.8kB   0B / 0B           10
9450743dd2d3   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-3    9.47%     33.99MiB / 9.717GiB   0.34%     3.58kB / 1.8kB    0B / 0B           10
50a671b85814   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-2    0.78%     32.75MiB / 9.717GiB   0.33%     4.59kB / 12.9kB   0B / 0B           9
c34c18d04057   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-0    0.03%     33.5MiB / 9.717GiB    0.34%     3.63kB / 1.8kB    0B / 0B           9
8b563fde59f5   testground-sidecar                                               12.08%    23.29MiB / 9.717GiB   0.23%     90.3kB / 49.1kB   8.47MB / 938kB    13
402567e59581   testground-influxdb                                              3.15%     221.5MiB / 9.717GiB   2.23%     88MB / 3.06MB     15.9MB / 349MB    24
a379c8d99e3d   testground-sync-service                                          19.16%    18.98MiB / 9.717GiB   0.19%     1.41MB / 2.81MB   6.1MB / 0B        21
6f5def6d18b0   testground-redis                                                 0.25%     9.52MiB / 9.717GiB    0.10%     58.7kB / 0B       6.96MB / 0B       5
8f2dd4731533   testground-grafana                                               0.94%     193.3MiB / 9.717GiB   1.94%     83.9kB / 7.97kB   24.8MB / 73.9MB   17
82fea16fbc9b   testground-goproxy                                               0.06%     65.77MiB / 9.717GiB   0.66%     712kB / 64.7MB    33.1MB / 8.19kB   19
f54a29fe86a3   tg-dht-find-providers-cf4ur0frirfnhn0mbt40-cypress-provider-12   22.46%    32.32MiB / 9.717GiB   0.32%     3.33kB / 1.8kB    0B / 0B           9
