CONTAINER ID   NAME                                                            CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
9a462825810e   testground-sidecar                                              12.18%    23.53MiB / 9.717GiB   0.24%     28.3kB / 36.6kB   8.93MB / 332kB    10
d1eef5ab88ee   testground-influxdb                                             1.09%     48.27MiB / 9.717GiB   0.49%     10.5MB / 545kB    3.38MB / 20.2MB   24
01982b7789fa   testground-sync-service                                         16.90%    15.47MiB / 9.717GiB   0.16%     860kB / 2.3MB     2.04MB / 0B       22
6b5edc4eddd6   testground-redis                                                0.17%     6.672MiB / 9.717GiB   0.07%     5.39kB / 0B       823kB / 0B        5
3107259a6df1   testground-grafana                                              0.04%     186.5MiB / 9.717GiB   1.87%     17.9kB / 4.09kB   17.3MB / 73.9MB   16
e03bfdf8b714   testground-goproxy                                              0.00%     42.95MiB / 9.717GiB   0.43%     704kB / 64.6MB    5.86MB / 8.19kB   19
56f69c4a1ce4   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-2   0.36%     34.13MiB / 9.717GiB   0.34%     2.48kB / 1.8kB    0B / 0B           9
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
56f69c4a1ce4   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-2    0.07%     34.13MiB / 9.717GiB   0.34%     3.23kB / 1.8kB    0B / 0B           9
9a462825810e   testground-sidecar                                               14.26%    23.93MiB / 9.717GiB   0.24%     30.1kB / 38.8kB   8.93MB / 340kB    10
d1eef5ab88ee   testground-influxdb                                              3.21%     48.28MiB / 9.717GiB   0.49%     10.5MB / 546kB    3.38MB / 20.2MB   24
01982b7789fa   testground-sync-service                                          20.90%    15.78MiB / 9.717GiB   0.16%     868kB / 2.31MB    2.04MB / 0B       22
6b5edc4eddd6   testground-redis                                                 0.16%     6.672MiB / 9.717GiB   0.07%     5.72kB / 0B       823kB / 0B        5
3107259a6df1   testground-grafana                                               0.04%     186.5MiB / 9.717GiB   1.87%     18.2kB / 4.09kB   17.3MB / 73.9MB   16
e03bfdf8b714   testground-goproxy                                               0.00%     42.95MiB / 9.717GiB   0.43%     704kB / 64.6MB    5.86MB / 8.19kB   19
7d6c05a25c81   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-12   29.83%    33.25MiB / 9.717GiB   0.33%     2.66kB / 1.8kB    0B / 0B           9
05c9c0036c36   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-18   3.42%     33.32MiB / 9.717GiB   0.33%     2.91kB / 1.8kB    0B / 0B           10
5d5a4a39179a   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-15   24.82%    33.15MiB / 9.717GiB   0.33%     2.91kB / 1.8kB    0B / 0B           9
ae7d3592eabf   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-19   20.92%    34.45MiB / 9.717GiB   0.35%     2.83kB / 1.8kB    0B / 0B           10
a32960658e30   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-5    31.69%    32.78MiB / 9.717GiB   0.33%     2.87kB / 1.8kB    0B / 0B           10
2f35a4d63067   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-4    27.83%    33.23MiB / 9.717GiB   0.33%     2.91kB / 1.8kB    0B / 0B           9
71e1698d0ae6   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-14   33.39%    30.62MiB / 9.717GiB   0.31%     3kB / 1.8kB       0B / 0B           9
4ba377db623a   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-20   34.89%    26.39MiB / 9.717GiB   0.27%     2.87kB / 1.8kB    0B / 0B           10
036aadfbfa4f   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-0    26.61%    33.31MiB / 9.717GiB   0.33%     3.33kB / 1.8kB    0B / 0B           9
1d4a06678b25   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-17   15.39%    24.2MiB / 9.717GiB    0.24%     3.33kB / 1.8kB    0B / 0B           10
933c91325a42   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-16   16.98%    24.27MiB / 9.717GiB   0.24%     3.33kB / 1.8kB    0B / 0B           9
9df44f2ec7ee   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-22   13.44%    20.32MiB / 9.717GiB   0.20%     3.29kB / 1.8kB    0B / 0B           10
3676f4a928fa   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-6    18.00%    22.02MiB / 9.717GiB   0.22%     3.25kB / 1.8kB    0B / 0B           9
2594ba7e6128   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-3    20.63%    33.82MiB / 9.717GiB   0.34%     3.42kB / 1.8kB    0B / 0B           9
1935e5166926   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-13   14.69%    25.59MiB / 9.717GiB   0.26%     3.33kB / 1.8kB    0B / 0B           9
fe3e25978bbf   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-1    11.69%    19.71MiB / 9.717GiB   0.20%     3.33kB / 1.8kB    0B / 0B           10
b5246caf6aa9   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-21   14.01%    25.5MiB / 9.717GiB    0.26%     3.33kB / 1.8kB    0B / 0B           10
4d1bb629471e   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-24   19.69%    22.96MiB / 9.717GiB   0.23%     3.21kB / 1.8kB    0B / 0B           10
cbc3983eb2f3   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-23   15.76%    18.96MiB / 9.717GiB   0.19%     2.95kB / 1.8kB    0B / 0B           9
f63cf756f1a8   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-25   24.81%    21.14MiB / 9.717GiB   0.21%     2.96kB / 1.8kB    0B / 0B           9
cc84c45881e0   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-26   16.08%    16.68MiB / 9.717GiB   0.17%     2.62kB / 1.8kB    0B / 0B           9
998e350e207e   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-28   12.54%    22.41MiB / 9.717GiB   0.23%     2.75kB / 1.8kB    0B / 0B           9
0dc9d803db12   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-29   17.35%    23.21MiB / 9.717GiB   0.23%     2.7kB / 1.8kB     0B / 0B           9
016a5c64a7ba   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-27   12.70%    17.45MiB / 9.717GiB   0.18%     2.7kB / 1.8kB     0B / 0B           9
a769e1a42b24   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-30   27.46%    26.7MiB / 9.717GiB    0.27%     2.87kB / 1.8kB    0B / 0B           9
0988f28af007   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-31   11.22%    17.12MiB / 9.717GiB   0.17%     2.7kB / 1.8kB     0B / 0B           9
0365c1dd8551   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-33   14.33%    22.26MiB / 9.717GiB   0.22%     2.66kB / 1.8kB    0B / 0B           10
df9d15975791   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-34   21.12%    17.27MiB / 9.717GiB   0.17%     2.57kB / 1.8kB    0B / 0B           9
4d726665dc29   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-35   14.61%    21MiB / 9.717GiB      0.21%     2.79kB / 1.8kB    0B / 0B           9
c0604e7c77c3   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-32   15.42%    24.62MiB / 9.717GiB   0.25%     3.08kB / 1.8kB    0B / 0B           9
7e29d9f810b7   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-40   21.66%    25.64MiB / 9.717GiB   0.26%     3kB / 1.8kB       0B / 0B           10
374f1f54e96c   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-38   20.04%    24.74MiB / 9.717GiB   0.25%     3.04kB / 1.8kB    0B / 0B           9
876d273ab4f0   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-41   21.75%    31.54MiB / 9.717GiB   0.32%     3.48kB / 1.87kB   0B / 0B           9
4976cc836b7c   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-37   15.19%    25.95MiB / 9.717GiB   0.26%     3.42kB / 1.8kB    0B / 0B           9
879882df876f   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-36   18.70%    32.29MiB / 9.717GiB   0.32%     3.42kB / 1.8kB    0B / 0B           9
d557e8109088   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-39   17.29%    23.51MiB / 9.717GiB   0.24%     3.42kB / 1.8kB    0B / 0B           9
a4cf006b8e18   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-46   16.14%    22.68MiB / 9.717GiB   0.23%     3.21kB / 1.8kB    0B / 0B           9
1c310434a556   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-45   18.23%    17.05MiB / 9.717GiB   0.17%     3.08kB / 1.8kB    0B / 0B           9
a56825cc3b76   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-42   14.37%    16.37MiB / 9.717GiB   0.16%     3.25kB / 1.8kB    0B / 0B           9
37860b1dffe8   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-43   21.91%    27.77MiB / 9.717GiB   0.28%     3.42kB / 1.8kB    0B / 0B           9
7c70c31c125c   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-44   21.57%    23.53MiB / 9.717GiB   0.24%     3.38kB / 1.8kB    0B / 0B           9
736394530aa7   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-47   12.15%    20.57MiB / 9.717GiB   0.21%     3.33kB / 1.8kB    0B / 0B           10
ef1e299892d4   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-48   25.33%    25.69MiB / 9.717GiB   0.26%     3.25kB / 1.8kB    0B / 0B           9
cd94ee856211   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-11   22.53%    19.65MiB / 9.717GiB   0.20%     2.87kB / 1.8kB    0B / 0B           8
1cc97eefdae1   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-49   18.38%    18.32MiB / 9.717GiB   0.18%     2.96kB / 1.8kB    0B / 0B           9
6696d47ec7e4   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-7    20.07%    18.55MiB / 9.717GiB   0.19%     3.33kB / 2.8kB    0B / 0B           9
aa97b48afb46   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-8    15.67%    14.56MiB / 9.717GiB   0.15%     2.48kB / 2.21kB   0B / 0B           10
cd9c9d8c0f5d   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-10   18.25%    19.75MiB / 9.717GiB   0.20%     5.52kB / 6.05kB   0B / 0B           10
e201ea1407a0   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-9    32.22%    25.24MiB / 9.717GiB   0.25%     4.34kB / 4.04kB   0B / 0B           10
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
1cc97eefdae1   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-49   7.85%     39.67MiB / 9.717GiB   0.40%     214kB / 163kB     0B / 0B           11
ef1e299892d4   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-48   7.83%     39.07MiB / 9.717GiB   0.39%     191kB / 129kB     0B / 0B           9
736394530aa7   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-47   7.99%     39.71MiB / 9.717GiB   0.40%     194kB / 138kB     0B / 0B           10
a4cf006b8e18   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-46   8.96%     39.76MiB / 9.717GiB   0.40%     220kB / 171kB     0B / 0B           16
1c310434a556   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-45   9.24%     38.93MiB / 9.717GiB   0.39%     218kB / 163kB     0B / 0B           10
7c70c31c125c   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-44   8.70%     39.43MiB / 9.717GiB   0.40%     205kB / 156kB     0B / 0B           11
37860b1dffe8   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-43   8.65%     38.64MiB / 9.717GiB   0.39%     209kB / 162kB     0B / 0B           11
a56825cc3b76   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-42   7.06%     38.76MiB / 9.717GiB   0.39%     208kB / 161kB     0B / 0B           12
876d273ab4f0   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-41   6.98%     39.11MiB / 9.717GiB   0.39%     193kB / 140kB     0B / 0B           12
7e29d9f810b7   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-40   6.50%     39.54MiB / 9.717GiB   0.40%     152kB / 106kB     0B / 0B           13
d557e8109088   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-39   8.88%     37.64MiB / 9.717GiB   0.38%     171kB / 122kB     0B / 0B           10
374f1f54e96c   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-38   11.54%    38.93MiB / 9.717GiB   0.39%     156kB / 115kB     0B / 0B           10
4976cc836b7c   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-37   7.63%     37.56MiB / 9.717GiB   0.38%     172kB / 116kB     0B / 0B           12
879882df876f   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-36   7.94%     38.66MiB / 9.717GiB   0.39%     173kB / 124kB     0B / 0B           10
4d726665dc29   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-35   3.29%     35.41MiB / 9.717GiB   0.36%     101kB / 65.8kB    0B / 0B           9
df9d15975791   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-34   9.05%     38.74MiB / 9.717GiB   0.39%     206kB / 167kB     0B / 0B           10
0365c1dd8551   tg-dht-find-providers-cf5bphfrirfu3id66g20-cypress-provider-33   11.10%    38.9MiB / 9.717GiB    0.39%     215kB / 170kB     0B / 0B           10
