CONTAINER ID   NAME                      CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
cbf27bab1fd2   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-1    19.69%    25.2MiB / 9.717GiB    0.25%     3.09kB / 1.47kB   0B / 0B           10
841abd43c6d7   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-11   13.74%    24.22MiB / 9.717GiB   0.24%     3.04kB / 1.48kB   0B / 0B           9
97313f3c3733   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-17   30.97%    25.59MiB / 9.717GiB   0.26%     2.99kB / 1.4kB    0B / 0B           10
8c8371ac3a24   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-10   21.66%    19.79MiB / 9.717GiB   0.20%     2.99kB / 1.4kB    0B / 0B           9
9cb1e74d27f0   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-4    18.78%    21.6MiB / 9.717GiB    0.22%     2.99kB / 1.4kB    0B / 0B           9
37007fb06e73   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-3    16.13%    19.2MiB / 9.717GiB    0.19%     2.99kB / 1.4kB    0B / 0B           9
76166d60e750   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-19   15.32%    16.8MiB / 9.717GiB    0.17%     2.99kB / 1.4kB    0B / 0B           9
3f9a7b34bbd4   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-8    17.52%    26.06MiB / 9.717GiB   0.26%     3.17kB / 1.48kB   0B / 0B           9
d5cd0b147dbf   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-13   18.63%    21.31MiB / 9.717GiB   0.21%     2.57kB / 1.4kB    0B / 0B           9
35311250960b   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-12   13.07%    23.51MiB / 9.717GiB   0.24%     2.48kB / 1.4kB    0B / 0B           9
48117b66a168   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-14   11.08%    14.47MiB / 9.717GiB   0.15%     2.23kB / 1.4kB    0B / 0B           9
75d24b39ae1f   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-38   10.13%    16.34MiB / 9.717GiB   0.16%     2.15kB / 1.4kB    0B / 0B           9
a56bd81607dc   tg-dht-find-providers-cf4rt2nrirfim66icns0-cypress-provider-20   18.21%    12.98MiB / 9.717GiB   0.13%     2.13kB / 1.33kB   0B / 0B           8
