CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
9a462825810e   testground-sidecar                                               0.05%     17.41MiB / 9.717GiB   0.17%     1.63kB / 1.19kB   8.79MB / 0B       9
d1eef5ab88ee   testground-influxdb                                              108.48%   13.42MiB / 9.717GiB   0.13%     902B / 150B       2.03MB / 4.1kB    20
01982b7789fa   testground-sync-service                                          0.60%     8.977MiB / 9.717GiB   0.09%     3.96kB / 2.45kB   2.03MB / 0B       9
6b5edc4eddd6   testground-redis                                                 0.20%     6.672MiB / 9.717GiB   0.07%     754B / 0B         823kB / 0B        5
3107259a6df1   testground-grafana                                               92.84%    132.7MiB / 9.717GiB   1.33%     932B / 0B         14.9MB / 73.7MB   11
e03bfdf8b714   testground-goproxy                                               0.00%     43MiB / 9.717GiB      0.43%     630kB / 64.5MB    5.86MB / 8.19kB   19
1aeadd1b81dd   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-39   34.75%    33.77MiB / 9.717GiB   0.34%     2.2kB / 1.33kB    0B / 0B           10
CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
1aeadd1b81dd   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-39   0.24%     34.05MiB / 9.717GiB   0.34%     3.02kB / 1.55kB   0B / 0B           10
9a462825810e   testground-sidecar                                               2.29%     18.11MiB / 9.717GiB   0.18%     2.68kB / 2.64kB   8.79MB / 0B       9
d1eef5ab88ee   testground-influxdb                                              29.36%    7.957MiB / 9.717GiB   0.08%     8.86kB / 2.15kB   3.14MB / 8.19kB   10
01982b7789fa   testground-sync-service                                          1.01%     9.145MiB / 9.717GiB   0.09%     8.85kB / 6.09kB   2.03MB / 0B       9
6b5edc4eddd6   testground-redis                                                 0.14%     6.672MiB / 9.717GiB   0.07%     964B / 0B         823kB / 0B        5
3107259a6df1   testground-grafana                                               48.46%    140.4MiB / 9.717GiB   1.41%     1.25kB / 0B       15.2MB / 73.7MB   11
e03bfdf8b714   testground-goproxy                                               0.00%     43MiB / 9.717GiB      0.43%     630kB / 64.5MB    5.86MB / 8.19kB   19
602809a3327f   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-6    0.26%     32.63MiB / 9.717GiB   0.33%     2.85kB / 1.48kB   0B / 0B           9
3badc188ac42   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-27   21.92%    34.24MiB / 9.717GiB   0.34%     2.62kB / 1.48kB   0B / 0B           9
9f6cfae8c0c5   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-1    15.68%    33.29MiB / 9.717GiB   0.33%     3.21kB / 1.48kB   0B / 0B           9
3abeb35b1264   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-2    13.61%    30.02MiB / 9.717GiB   0.30%     3.25kB / 1.48kB   0B / 0B           9
daf9065d267b   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-0    12.42%    26.19MiB / 9.717GiB   0.26%     3.12kB / 1.48kB   0B / 0B           8
a298b5e53f6f   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-3    11.70%    27.34MiB / 9.717GiB   0.27%     3.17kB / 1.48kB   0B / 0B           9
a96493003d49   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-29   18.39%    28.88MiB / 9.717GiB   0.29%     3.17kB / 1.48kB   0B / 0B           10
e8a38d6bc262   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-33   22.70%    25.79MiB / 9.717GiB   0.26%     2.82kB / 1.4kB    0B / 0B           9
361685a455b3   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-28   20.68%    30.02MiB / 9.717GiB   0.30%     3.29kB / 1.48kB   0B / 0B           9
43d528efcad6   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-5    13.61%    25.5MiB / 9.717GiB    0.26%     3.21kB / 1.48kB   0B / 0B           9
fd83a16d7902   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-34   15.60%    32.58MiB / 9.717GiB   0.33%     3.12kB / 1.48kB   0B / 0B           10
84c78b459eb8   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-32   16.35%    27.13MiB / 9.717GiB   0.27%     3.17kB / 1.48kB   0B / 0B           10
12dd6989c675   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-38   21.19%    27.72MiB / 9.717GiB   0.28%     2.82kB / 1.4kB    0B / 0B           9
84560b24ff81   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-31   12.21%    23.54MiB / 9.717GiB   0.24%     2.9kB / 1.4kB     0B / 0B           10
78a1f5665a58   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-30   8.53%     22.06MiB / 9.717GiB   0.22%     2.94kB / 1.4kB    0B / 0B           10
551cdbfcee25   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-4    10.78%    20.05MiB / 9.717GiB   0.20%     2.73kB / 1.4kB    0B / 0B           9
ea75f2d11976   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-36   13.07%    19.64MiB / 9.717GiB   0.20%     2.73kB / 1.4kB    0B / 0B           9
bebb20898eb7   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-35   10.12%    17.86MiB / 9.717GiB   0.18%     2.69kB / 1.4kB    0B / 0B           10
c5871cd01e37   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-45   13.20%    22.57MiB / 9.717GiB   0.23%     2.36kB / 1.4kB    0B / 0B           9
e3bdb44f19ea   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-41   15.65%    18.33MiB / 9.717GiB   0.18%     2.23kB / 1.4kB    0B / 0B           10
f928281f1a78   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-40   18.09%    19.78MiB / 9.717GiB   0.20%     2.48kB / 1.4kB    0B / 0B           9
08094638459d   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-42   17.64%    19.1MiB / 9.717GiB    0.19%     2.44kB / 1.4kB    0B / 0B           9
cde562437264   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-44   13.02%    20.34MiB / 9.717GiB   0.20%     2.57kB / 1.4kB    0B / 0B           9
e640a5289dc0   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-43   18.59%    26.61MiB / 9.717GiB   0.27%     2.61kB / 1.4kB    0B / 0B           10
f38a33cafa3f   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-46   14.00%    17.71MiB / 9.717GiB   0.18%     2.61kB / 1.4kB    0B / 0B           9
a9be5a95e96d   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-48   24.57%    24.66MiB / 9.717GiB   0.25%     2.48kB / 1.4kB    0B / 0B           9
7a21485c90fd   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-47   23.58%    28.89MiB / 9.717GiB   0.29%     3.12kB / 1.48kB   0B / 0B           9
1532daa4826e   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-37   13.52%    22.95MiB / 9.717GiB   0.23%     2.94kB / 1.4kB    0B / 0B           9
9a5f26e50a68   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-7    20.59%    19.51MiB / 9.717GiB   0.20%     2.73kB / 1.4kB    0B / 0B           9
ce8e166c8a97   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-8    15.03%    18.33MiB / 9.717GiB   0.18%     2.64kB / 1.4kB    0B / 0B           10
d36ccaf1e220   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-9    11.85%    24.31MiB / 9.717GiB   0.24%     3.08kB / 1.48kB   0B / 0B           10
c078068f4ace   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-17   10.35%    25.04MiB / 9.717GiB   0.25%     3kB / 1.48kB      0B / 0B           9
5c7ea7d2817d   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-12   12.65%    24.34MiB / 9.717GiB   0.24%     2.9kB / 1.4kB     0B / 0B           9
1ed61d783b2e   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-10   11.72%    20.5MiB / 9.717GiB    0.21%     2.9kB / 1.4kB     0B / 0B           9
5d97a137ec36   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-13   8.95%     16.82MiB / 9.717GiB   0.17%     2.78kB / 1.4kB    0B / 0B           9
f451a8161828   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-11   14.35%    17.35MiB / 9.717GiB   0.17%     2.78kB / 1.4kB    0B / 0B           9
41b8ddc4a368   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-15   13.66%    16.7MiB / 9.717GiB    0.17%     2.6kB / 1.33kB    0B / 0B           9
e41041f5e9cb   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-16   9.54%     16.86MiB / 9.717GiB   0.17%     2.52kB / 1.4kB    0B / 0B           9
d9c10a3db8f3   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-14   11.75%    16.52MiB / 9.717GiB   0.17%     2.44kB / 1.4kB    0B / 0B           9
69290c1aac9f   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-49   9.42%     15.87MiB / 9.717GiB   0.16%     2.48kB / 1.4kB    0B / 0B           9
18536d666468   tg-dht-find-providers-cf5bndnrirfu3id66g1g-cypress-provider-23   23.11%    18.72MiB / 9.717GiB   0.19%     2.13kB / 1.33kB   0B / 0B           9
