CONTAINER ID   NAME                                                             CPU %     MEM USAGE / LIMIT     MEM %     NET I/O           BLOCK I/O         PIDS
48337caf9716   tg-dht-find-providers-cf4udlnrirfn1dv72bj0-cypress-provider-36   0.05%     34.44MiB / 9.717GiB   0.35%     3.12kB / 1.8kB    0B / 0B           10
245c11d9e09e   tg-dht-find-providers-cf4udlnrirfn1dv72bj0-cypress-provider-35   0.69%     33.46MiB / 9.717GiB   0.34%     3.65kB / 13kB     0B / 0B           9
ff8276aa2230   tg-dht-find-providers-cf4udlnrirfn1dv72bj0-cypress-provider-34   1.17%     34.22MiB / 9.717GiB   0.34%     4.2kB / 12.7kB    0B / 0B           9
a62ce767e741   tg-dht-find-providers-cf4udlnrirfn1dv72bj0-cypress-provider-14   1.31%     33.75MiB / 9.717GiB   0.34%     3.23kB / 1.8kB    0B / 0B           11
bb7b7bc0663e   tg-dht-find-providers-cf4udlnrirfn1dv72bj0-cypress-provider-0    1.40%     34.52MiB / 9.717GiB   0.35%     4.53kB / 13kB     0B / 0B           9
ccf5bd134795   testground-sidecar                                               11.47%    21.5MiB / 9.717GiB    0.22%     73.1kB / 43.4kB   3.89MB / 631kB    13
173dccd98906   testground-influxdb                                              3.94%     97.63MiB / 9.717GiB   0.98%     30.4MB / 1.71MB   1.93MB / 142MB    23
adb984a3743e   testground-sync-service                                          22.53%    21.31MiB / 9.717GiB   0.21%     1.06MB / 2.46MB   5.78MB / 0B       24
00bcbaf0b4c0   testground-redis                                                 0.35%     6.82MiB / 9.717GiB    0.07%     43.6kB / 0B       1.63MB / 0B       5
8eaf9e7505b9   testground-grafana                                               0.12%     175.6MiB / 9.717GiB   1.76%     56.3kB / 4.36kB   7.17MB / 73.9MB   15
86e9cb4f6d2b   testground-goproxy                                               0.01%     45.62MiB / 9.717GiB   0.46%     1.16MB / 129MB    7.65MB / 16.4kB   19
464f01529bf9   tg-dht-find-providers-cf4udlnrirfn1dv72bj0-cypress-provider-13   0.07%     33.64MiB / 9.717GiB   0.34%     2.91kB / 1.8kB    0B / 0B           9
